Origin,Destination,"Distance (by car, in km)","Distance (by bike, in km)",,,,,,,,,,,,,
Wielewaal,Airport,2.4,6.4,,,,,,,,,,,,,
Wielewaal,Meerhoven shopping center,4.8,4.6,,,,,,,,,,,,,
Wielewaal,High Tech Campus,9.9,7.5,,,,,,,,,,,,,
Wielewaal,Eindhoven City Centre,10.6,4.7,,,,,,,,,,,,,
Wielewaal,Eindhoven Station Strijp-S,6,2.8,,,,,,,,,,,,,
Wielewaal,Flight Forum,2.4,3.7,,,,,,,,,,,,,
Wielewaal,SintLucas,7,2.7,,,,,,,,,,,,,
Wielewaal,TU/e,15.2,5.7,,,,,,,,,,,,,
Wielewaal,Medisch Centrum Boschdijk,5.8,2.9,,,,,,,,,,,,,
Wielewaal,Obs de Opbouw,5.9,2.9,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Barrier,Airport,9.8,8.6,,,,,,,,,,,,,
Barrier,Eindhoven City Centre,5.3,3.3,,,,,,,,,,,,,
Barrier,Eindhoven Station Strijp S,1.8,1.6,,,,,,,,,,,,,
Barrier,Winkelcentrum Woensel,2,2,,,,,,,,,,,,,
Barrier,Flight Forum,5.8,5.9,,,,,,,,,,,,,
Barrier,High Tech Campus,11.5,7.2,,,,,,,,,,,,,
Barrier,Antoon Schellenscollege,0.6,0.6,,,,,,,,,,,,,
Barrier,TU/e,3.2,3.4,,,,,,,,,,,,,
Barrier,Medisch Centrum Boschdijk,0.9,1.1,,,,,,,,,,,,,
Barrier,Obs de Opbouw,0.45,0.45,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Muschberg, Geestenberg",Airport,11.3,11.9,,,,,,,,,,,,,
"Muschberg, Geestenberg",Eindhoven City Centre,4.3,3.8,,,,,,,,,,,,,
"Muschberg, Geestenberg",Eindhoven Central Station,3.8,3.7,,,,,,,,,,,,,
"Muschberg, Geestenberg",De Kade,s,3.2,,,,,,,,,,,,,
"Muschberg, Geestenberg",High Tech Campus,8.3,7.9,,,,,,,,,,,,,
"Muschberg, Geestenberg",Lorentz Casimir Lyceum,1.4,1.5,,,,,,,,,,,,,
"Muschberg, Geestenberg",Flight Forum,11.2,11.9,,,,,,,,,,,,,
"Muschberg, Geestenberg",TU/e,3.5,3.5,,,,,,,,,,,,,
"Muschberg, Geestenberg",Stroomz Tongelre,0.9,0.9,,,,,,,,,,,,,
"Muschberg, Geestenberg",BS 't Karregat Omnio,0.4,0.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Esp,Airport,12.2,9.1,,,,,,,,,,,,,
Esp,Eindhoven City Centre,9.3,7,,,,,,,,,,,,,
Esp,Eindhoven Central Station,6.1,6.7,,,,,,,,,,,,,
Esp,Het Facilitair Gezondheidscentrum,4.6,3.9,,,,,,,,,,,,,
Esp,De Handreiking,1.8,1.6,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Sintenbuurt,High Tech Campus,5,4.7,,,,,,,,,,,,,
Sintenbuurt,Eindhoven City Centre,2.8,3.2,,,,,,,,,,,,,
Sintenbuurt,TU/e,4.4,4.1,,,,,,,,,,,,,
Sintenbuurt,Airport,15.3,11.1,,,,,,,,,,,,,
Sintenbuurt,Eindhoven Central Station,4.6,3.4,,,,,,,,,,,,,
Sintenbuurt,Augustinianum,2.1,1.6,,,,,,,,,,,,,
Sintenbuurt,Stroomz Stratum,0.11,0.11,,,,,,,,,,,,,
Sintenbuurt,Bs de Klimboom,0.65,0.24,,,,,,,,,,,,,
